epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,21222.8,0.7515,1.22052,0.66043,0.92001,0,0.76227,0.61949,0.66294,0.53921,0.73017,0.59154,0.6197,0.45543,0.69696,1.26087,0.9284,0.91116,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,21471.5,0.74415,1.20833,0.65477,0.91609,0,0.76245,0.62185,0.66331,0.53943,0.72983,0.59128,0.61988,0.45653,0.69574,1.25921,0.92748,0.91058,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,21724.1,0.75175,1.21966,0.65674,0.91976,0,0.76429,0.62176,0.66441,0.54099,0.73266,0.59188,0.62049,0.4579,0.69571,1.25757,0.92725,0.91047,0,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,22172.8,0.73999,1.20346,0.65116,0.91587,0,0.75063,0.62943,0.66506,0.54288,0.73147,0.5941,0.62062,0.45792,0.69544,1.25582,0.927,0.91036,0,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,22421.1,0.74627,1.2021,0.64792,0.91541,0,0.75441,0.63047,0.66665,0.54305,0.73146,0.59528,0.62075,0.45854,0.69483,1.25418,0.92562,0.90993,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,22672.6,0.7432,1.20719,0.64735,0.91526,0,0.76748,0.62647,0.66753,0.54427,0.7305,0.59596,0.62121,0.45911,0.69356,1.25347,0.92509,0.90949,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,22922,0.73691,1.19736,0.63876,0.91341,0,0.76707,0.62623,0.66815,0.54538,0.73103,0.59534,0.62046,0.45935,0.69248,1.25155,0.92451,0.90895,0,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,23171.8,0.73194,1.19137,0.63277,0.91052,0,0.76728,0.62525,0.66851,0.54634,0.73189,0.59309,0.62055,0.4598,0.69078,1.24958,0.92382,0.90789,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,23421,0.7291,1.18696,0.63099,0.90932,0,0.76885,0.62483,0.66922,0.54648,0.73537,0.59085,0.62165,0.4601,0.6893,1.2472,0.92295,0.90739,0,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,23669.8,0.7262,1.18216,0.6288,0.90952,0,0.76955,0.62421,0.67063,0.54805,0.73682,0.58936,0.62316,0.46143,0.68854,1.24501,0.92237,0.90677,0,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,23920.9,0.72447,1.16531,0.62568,0.90704,0,0.76868,0.6254,0.67057,0.54754,0.73604,0.59019,0.62286,0.46138,0.68776,1.24291,0.92169,0.90641,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,24170.2,0.72655,1.17725,0.62257,0.90929,0,0.77016,0.62496,0.67131,0.54863,0.73499,0.59146,0.62434,0.46288,0.68691,1.24109,0.92098,0.90592,0,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,24424.4,0.72675,1.17601,0.62296,0.90869,0,0.76913,0.62452,0.67174,0.54904,0.73816,0.59113,0.62491,0.46336,0.68542,1.23869,0.91919,0.90495,0,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,24677,0.7244,1.16125,0.61309,0.90767,0,0.77119,0.62759,0.67227,0.54958,0.74399,0.58835,0.62497,0.46317,0.68403,1.23682,0.91924,0.90421,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,24926,0.71655,1.15919,0.60755,0.9044,0,0.7705,0.62748,0.67163,0.54877,0.7378,0.59303,0.62554,0.46249,0.68417,1.23558,0.9201,0.90415,0,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,25176.1,0.71362,1.15871,0.61063,0.90494,0,0.77023,0.62913,0.67239,0.5496,0.73789,0.59333,0.6263,0.46334,0.68232,1.23446,0.92025,0.9034,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,25424.7,0.71794,1.15252,0.60551,0.90533,0,0.7711,0.63013,0.67286,0.54978,0.73585,0.59523,0.62634,0.46455,0.68137,1.23292,0.92021,0.90277,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,25673.4,0.71072,1.14185,0.60095,0.90237,0,0.77044,0.63021,0.67326,0.55021,0.73346,0.59908,0.62637,0.46602,0.67995,1.23154,0.91985,0.90217,0,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,25924.6,0.70947,1.14568,0.60302,0.90153,0,0.76953,0.63058,0.67295,0.5506,0.73419,0.59914,0.62701,0.46636,0.6792,1.22928,0.92044,0.90175,0,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,26169.8,0.70649,1.13166,0.59461,0.90111,0,0.76768,0.63317,0.67385,0.55058,0.73313,0.60002,0.62736,0.46643,0.6783,1.22715,0.92075,0.90143,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
