epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,23165,0.64909,1.09299,0.54759,0.87086,0.70334,0.61704,0.62218,0.50907,0.67819,0.59543,0.59498,0.45362,0.62004,1.16733,0.89895,0.85962,0.001189,0.001189,0.001189
91,23428.1,0.63674,1.09719,0.50068,0.84609,0.75456,0.59841,0.62426,0.51133,0.72471,0.57667,0.59583,0.45447,0.6191,1.16461,0.89918,0.85944,0.00109,0.00109,0.00109
92,23685,0.62905,1.09317,0.48974,0.84566,0.75025,0.60129,0.62539,0.51203,0.72314,0.58055,0.59857,0.45515,0.61709,1.1586,0.89849,0.85877,0.000991,0.000991,0.000991
93,23940.7,0.62229,1.08277,0.48162,0.84327,0.74262,0.60769,0.62719,0.51532,0.71822,0.58914,0.60206,0.45714,0.61611,1.15699,0.89793,0.85861,0.000892,0.000892,0.000892
94,24195.8,0.61868,1.08424,0.47365,0.84332,0.73889,0.61272,0.62782,0.51624,0.71669,0.59155,0.60249,0.45803,0.61477,1.15403,0.89936,0.85842,0.000793,0.000793,0.000793
95,24450.3,0.61358,1.07296,0.46763,0.83969,0.73695,0.6162,0.62835,0.51667,0.71703,0.5943,0.60338,0.4586,0.61338,1.15216,0.90039,0.85799,0.000694,0.000694,0.000694
96,24707.5,0.60861,1.06211,0.46288,0.83901,0.73191,0.61817,0.62952,0.51736,0.70808,0.59894,0.60442,0.45851,0.61197,1.14811,0.90089,0.85742,0.000595,0.000595,0.000595
97,24966.6,0.60146,1.04589,0.45387,0.83535,0.73217,0.61873,0.63001,0.51753,0.71097,0.59791,0.6054,0.45926,0.61043,1.14615,0.90226,0.85667,0.000496,0.000496,0.000496
98,25224.9,0.60236,1.05322,0.45777,0.83611,0.73219,0.61806,0.63068,0.51764,0.71251,0.59879,0.6056,0.45959,0.60968,1.14332,0.90247,0.85616,0.000397,0.000397,0.000397
99,25485.7,0.59526,1.04402,0.44727,0.83722,0.73461,0.61828,0.63199,0.5186,0.71537,0.59852,0.60651,0.4603,0.60833,1.14141,0.90328,0.85576,0.000298,0.000298,0.000298
100,25748.3,0.59453,1.04575,0.44256,0.83465,0.73848,0.61886,0.63265,0.51965,0.71795,0.598,0.6072,0.4599,0.60772,1.14025,0.90424,0.85558,0.000199,0.000199,0.000199
